Dimension : Anvil height,"3.60000",mm
Dimension : Area,"181.17160",mm^2
Dimension : Final anvil height,"3.60000",mm
Dimension : Final area,"181.17160",mm^2
Dimension : Final thickness,"13.46000",mm
Dimension : Final width,"13.46000",mm
Dimension : Geometry,Rectangular
Dimension : Thickness,"13.46000",mm
Dimension : Width,"13.46000",mm

Time,Extension,Load,Compressive strain,Compressive stress,Cycle Count
(sec),(mm),(N),(mm/mm),(MPa),
"23.73600","-0.87000","-1.05549","0.24167","0.00583","19"
"23.83600","-0.67891","-0.11453","0.18859","0.00063","19"
"23.93600","-0.50563","-0.05984","0.14045","0.00033","19"
"24.03600","-0.33703","-0.00337","0.09362","0.00002","19"
"24.13600","-0.17016","-0.03690","0.04727","0.00020","19"
"24.23600","-0.00359","-0.06410","0.00100","0.00035","19"
"24.24000","0.00312","-0.06941","-0.00087","0.00038","19"
"24.24200","0.00656","-0.07160","-0.00182","0.00040","20"
"24.34200","-0.13000","-0.03645","0.03611","0.00020","20"
"24.44200","-0.32109","-0.04036","0.08919","0.00022","20"
"24.54200","-0.49438","-0.06354","0.13733","0.00035","20"
"24.64200","-0.66281","-0.12297","0.18411","0.00068","20"
"24.74200","-0.83000","-0.64597","0.23056","0.00357","20"
"24.84200","-0.99656","-1.66763","0.27682","0.00920","20"
"24.84600","-1.00312","-1.71583","0.27865","0.00947","20"
"24.84800","-1.00656","-1.74022","0.27960","0.00961","20"
"24.94800","-0.87000","-1.14215","0.24167","0.00630","20"
"25.04800","-0.67891","-0.15485","0.18859","0.00085","20"
"25.14800","-0.50547","-0.12497","0.14041","0.00069","20"
"25.24800","-0.33703","0.01291","0.09362","-0.00007","20"
"25.34800","-0.17016","-0.00783","0.04727","0.00004","20"
"25.44800","-0.00359","-0.01841","0.00100","0.00010","20"
"25.45200","0.00312","-0.01916","-0.00087","0.00011","20"
"25.45400","0.00656","-0.02011","-0.00182","0.00011","21"
"25.55400","-0.13000","-0.02495","0.03611","0.00014","21"
"25.65400","-0.32109","-0.02384","0.08919","0.00013","21"
"25.75400","-0.49438","-0.02397","0.13733","0.00013","21"
"25.85400","-0.66297","-0.14009","0.18416","0.00077","21"
"25.95400","-0.83000","-0.58511","0.23056","0.00323","21"
"26.05400","-0.99656","-1.60164","0.27682","0.00884","21"
"26.05800","-1.00312","-1.65545","0.27865","0.00914","21"
"26.06000","-1.00656","-1.67926","0.27960","0.00927","21"
"26.16000","-0.87000","-1.16836","0.24167","0.00645","21"
"26.26000","-0.67906","-0.11075","0.18863","0.00061","21"
"26.36000","-0.50547","-0.08949","0.14041","0.00049","21"
"26.46000","-0.33703","0.07514","0.09362","-0.00041","21"
"26.56000","-0.17016","-0.09577","0.04727","0.00053","21"
"26.66000","-0.00344","0.01371","0.00095","-0.00008","21"
"26.66400","0.00312","0.02769","-0.00087","-0.00015","21"
"26.66600","0.00656","0.03314","-0.00182","-0.00018","22"
"26.76600","-0.13000","-0.01469","0.03611","0.00008","22"
"26.86600","-0.32109","-0.03660","0.08919","0.00020","22"
"26.96600","-0.49453","-0.02259","0.13737","0.00012","22"
"27.06600","-0.66297","-0.11786","0.18416","0.00065","22"
"27.16600","-0.82984","-0.55574","0.23051","0.00307","22"
"27.26600","-0.99656","-1.61640","0.27682","0.00892","22"
"27.27000","-1.00312","-1.66716","0.27865","0.00920","22"
"27.27200","-1.00656","-1.69309","0.27960","0.00935","22"
"27.37200","-0.87000","-1.09545","0.24167","0.00605","22"
"27.47200","-0.67891","-0.12569","0.18859","0.00069","22"
"27.57200","-0.50547","-0.00970","0.14041","0.00005","22"
"27.67200","-0.33703","0.08562","0.09362","-0.00047","22"
"27.77200","-0.17016","0.00052","0.04727","0.00000","22"
"27.87200","-0.00344","0.00123","0.00095","-0.00001","22"
"27.87600","0.00312","0.00779","-0.00087","-0.00004","22"
"27.87800","0.00641","0.01236","-0.00178","-0.00007","23"
"27.97800","-0.13000","-0.03292","0.03611","0.00018","23"
"28.07800","-0.32109","-0.04135","0.08919","0.00023","23"
"28.17800","-0.49438","-0.05005","0.13733","0.00028","23"
"28.27800","-0.66297","-0.16240","0.18416","0.00090","23"
"28.37800","-0.82984","-0.62131","0.23051","0.00343","23"
"28.47800","-0.99641","-1.65535","0.27678","0.00914","23"
"28.48200","-1.00328","-1.70429","0.27869","0.00941","23"
"28.48400","-1.00656","-1.72901","0.27960","0.00954","23"
"28.58400","-0.87000","-1.17973","0.24167","0.00651","23"
"28.68400","-0.67906","-0.19089","0.18863","0.00105","23"
"28.78400","-0.50547","-0.13413","0.14041","0.00074","23"
"28.88400","-0.33703","0.00653","0.09362","-0.00004","23"
"28.98400","-0.17016","-0.13072","0.04727","0.00072","23"
"29.08400","-0.00344","-0.06313","0.00095","0.00035","23"
"29.08800","0.00312","-0.05506","-0.00087","0.00030","23"
"29.09000","0.00656","-0.05198","-0.00182","0.00029","24"
"29.19000","-0.13000","-0.05822","0.03611","0.00032","24"
"29.29000","-0.32109","-0.11179","0.08919","0.00062","24"
"29.39000","-0.49438","-0.14609","0.13733","0.00081","24"
"29.49000","-0.66297","-0.19557","0.18416","0.00108","24"
"29.59000","-0.83000","-0.60523","0.23056","0.00334","24"
"29.69000","-0.99641","-1.63151","0.27678","0.00901","24"
